id,Total Pop Enrolled,Percent Total Pop Enrolled,Margin Total Pop,County,State
0500000US17183,12741,76.7,863,Vermilion County, Illinois
0500000US17197,131212,70.2,1722,Will County, Illinois
0500000US17199,11149,69.0,666,Williamson County, Illinois
0500000US17201,47122,74.2,1492,Winnebago County, Illinois
0500000US18003,68733,72.6,1764,Allen County, Indiana
0500000US18005,14464,74.8,1026,Bartholomew County, Indiana
0500000US18011,12607,73.7,835,Boone County, Indiana
0500000US18019,19742,76.8,971,Clark County, Indiana
0500000US18035,14684,42.4,773,Delaware County, Indiana
0500000US18039,39454,83.4,1514,Elkhart County, Indiana
0500000US18043,13084,71.1,600,Floyd County, Indiana
0500000US18053,9612,57.5,483,Grant County, Indiana
0500000US18057,68134,74.6,1489,Hamilton County, Indiana
0500000US18059,13079,75.1,908,Hancock County, Indiana
0500000US18063,32338,76.9,1514,Hendricks County, Indiana
0500000US18067,13364,77.2,774,Howard County, Indiana
0500000US18081,30002,70.6,1380,Johnson County, Indiana
0500000US18085,14820,80.2,703,Kosciusko County, Indiana
0500000US18089,84941,72.6,1602,Lake County, Indiana
0500000US18091,16015,75.6,694,LaPorte County, Indiana
0500000US18095,20770,74.4,772,Madison County, Indiana
0500000US18097,166622,70.8,2827,Marion County, Indiana
0500000US18105,16811,28.3,1060,Monroe County, Indiana
0500000US18109,11557,73.8,950,Morgan County, Indiana
0500000US18127,29054,72.3,1229,Porter County, Indiana
0500000US18141,45951,62.2,1013,St. Joseph County, Indiana
0500000US18157,28864,39.5,977,Tippecanoe County, Indiana
0500000US18163,28370,64.0,1140,Vanderburgh County, Indiana
0500000US18167,15169,53.4,928,Vigo County, Indiana
0500000US18177,10452,68.6,484,Wayne County, Indiana
0500000US19013,20448,52.2,772,Black Hawk County, Iowa
0500000US19049,19303,78.5,1030,Dallas County, Iowa
0500000US19061,14456,61.4,644,Dubuque County, Iowa
0500000US19103,21199,41.5,1210,Johnson County, Iowa
0500000US19113,38459,70.8,1208,Linn County, Iowa
0500000US19153,86861,70.8,1519,Polk County, Iowa
0500000US19155,16389,72.2,544,Pottawattamie County, Iowa
0500000US19163,29763,71.5,897,Scott County, Iowa
0500000US19169,10758,25.3,695,Story County, Iowa
0500000US19193,19672,74.2,723,Woodbury County, Iowa
0500000US20015,13325,69.4,870,Butler County, Kansas
0500000US20045,15799,35.0,851,Douglas County, Kansas
0500000US20091,108158,69.7,1461,Johnson County, Kansas
0500000US20103,14994,73.9,844,Leavenworth County, Kansas
0500000US20161,7864,25.9,714,Riley County, Kansas
0500000US20173,94909,69.3,1972,Sedgwick County, Kansas
0500000US20177,30408,74.3,1648,Shawnee County, Kansas
0500000US20209,32391,73.7,635,Wyandotte County, Kansas
0500000US21015,24148,75.1,1681,Boone County, Kentucky
0500000US21029,13195,75.9,854,Bullitt County, Kentucky
0500000US21037,13680,60.6,535,Campbell County, Kentucky
0500000US21047,11786,74.5,774,Christian County, Kentucky
0500000US21059,17831,73.0,733,Daviess County, Kentucky
0500000US21067,46033,50.7,1150,Fayette County, Kentucky
0500000US21093,20005,78.6,1038,Hardin County, Kentucky
0500000US21111,121651,68.4,2310,Jefferson County, Kentucky
0500000US21117,27586,70.9,814,Kenton County, Kentucky
0500000US21145,10246,75.3,718,McCracken County, Kentucky
0500000US21151,13285,47.3,703,Madison County, Kentucky
0500000US21185,14352,75.6,733,Oldham County, Kentucky
0500000US21227,21719,53.2,1387,Warren County, Kentucky
0500000US22005,24382,75.3,1561,Ascension Parish, Louisiana
0500000US22015,23211,73.3,1019,Bossier Parish, Louisiana
0500000US22017,41680,71.9,1183,Caddo Parish, Louisiana
0500000US22019,34038,71.5,1473,Calcasieu Parish, Louisiana
0500000US22033,72453,58.6,1948,East Baton Rouge Parish, Louisiana
0500000US22045,14043,79.0,1139,Iberia Parish, Louisiana
0500000US22051,68515,69.0,1572,Jefferson Parish, Louisiana
0500000US22055,40215,63.5,1855,Lafayette Parish, Louisiana
0500000US22057,17700,72.1,974,Lafourche Parish, Louisiana
0500000US22063,25360,77.7,1911,Livingston Parish, Louisiana
0500000US22071,55813,57.8,1141,Orleans Parish, Louisiana
0500000US22073,27783,68.9,1306,Ouachita Parish, Louisiana
0500000US22079,22896,72.4,1103,Rapides Parish, Louisiana
0500000US22097,15509,82.1,940,St. Landry Parish, Louisiana
0500000US22103,48423,75.7,1296,St. Tammany Parish, Louisiana
0500000US22105,23335,68.3,959,Tangipahoa Parish, Louisiana
0500000US22109,21623,79.4,1137,Terrebonne Parish, Louisiana
0500000US23001,15813,65.9,835,Androscoggin County, Maine
0500000US23003,8693,72.8,546,Aroostook County, Maine
0500000US23005,40689,63.8,1248,Cumberland County, Maine
0500000US23011,17022,68.1,1209,Kennebec County, Maine
0500000US23019,19406,55.7,947,Penobscot County, Maine
0500000US23031,27501,69.4,1178,York County, Maine
0500000US24001,9475,62.6,643,Allegany County, Maryland
0500000US24003,92229,63.9,1566,Anne Arundel County, Maryland
0500000US24005,130630,63.2,2096,Baltimore County, Maryland
0500000US24009,16681,71.8,775,Calvert County, Maryland
0500000US24013,27499,66.0,970,Carroll County, Maryland
0500000US24015,17402,72.8,1007,Cecil County, Maryland
0500000US24017,28793,66.4,1925,Charles County, Maryland
