geo_id,est_total_households_official,est_avg_household_size,est_total_families_official,est_avg_families_size
0500000US26073,25367,2.53,14589,2.93
0500000US26075,62598,2.39,39406,3.01
0500000US26077,104234,2.46,61117,3.07
0500000US26081,244046,2.63,163120,3.16
0500000US26087,33560,2.57,23556,3.05
0500000US26091,38388,2.43,25874,2.91
0500000US26093,72676,2.61,54151,3.00
0500000US26099,347508,2.49,227394,3.11
0500000US26103,26328,2.40,15842,2.99
0500000US26111,34091,2.40,22495,2.93
0500000US26115,61586,2.42,42079,2.90
0500000US26121,67196,2.48,44746,2.96
0500000US26125,503645,2.48,317128,3.15
0500000US26139,103438,2.72,74706,3.14
0500000US26145,78740,2.34,50638,2.88
0500000US26147,65751,2.40,43184,2.88
0500000US26155,28218,2.39,19116,2.86
0500000US26159,28607,2.59,20700,3.03
0500000US26161,143072,2.45,82598,3.06
0500000US26163,687546,2.52,408205,3.34
0500000US27003,128140,2.74,90726,3.23
0500000US27013,26362,2.42,16209,2.80
0500000US27019,36925,2.78,27536,3.24
0500000US27037,162496,2.60,113191,3.12
0500000US27053,508964,2.43,292301,3.12
0500000US27109,63462,2.42,39793,3.06
0500000US27123,209287,2.56,118943,3.35
0500000US27131,23358,2.49,14748,3.15
0500000US27137,84370,2.26,47595,2.88
0500000US27139,50040,2.91,39923,3.24
0500000US27141,32033,2.93,23539,3.30
0500000US27145,58510,2.59,38320,3.12
0500000US27163,96387,2.65,68219,3.15
0500000US27171,48863,2.77,35755,3.21
0500000US28033,63075,2.87,45993,3.40
0500000US28035,27248,2.61,14427,3.64
0500000US28047,82375,2.45,52963,3.03
0500000US28049,85483,2.66,52610,3.46
0500000US28059,51659,2.75,33753,3.49
0500000US28067,25098,2.65,17400,3.30
0500000US28075,29993,2.40,18858,3.14
0500000US28081,32527,2.59,22217,3.15
0500000US28089,40229,2.56,29030,3.09
0500000US28121,55483,2.66,38785,3.22
0500000US29019,72217,2.37,39505,2.99
0500000US29021,33621,2.52,20116,3.18
0500000US29031,28675,2.63,18641,3.20
0500000US29037,40197,2.59,29713,2.99
0500000US29043,31421,2.75,22064,3.27
0500000US29047,91901,2.65,60259,3.29
0500000US29051,29593,2.44,19670,3.02
0500000US29071,40387,2.54,27834,3.03
0500000US29077,128691,2.18,72929,2.84
0500000US29095,288752,2.38,170337,3.07
0500000US29097,47846,2.47,31070,3.05
