GEO_ID,PCT_total_households_with_Device,PCT_total_households_with_Desktop,PCT_total_households_with_NO,PCT_total_households_with_Smartphone,PCT_total_households_with_NO2,PCT_total_households_with_Portable,PCT_total_households_with_NO3,PCT_total_households_with_Other,PCT_total_households_with_NO4,PCT_total_households_No_Device,PCT_total_households_with_SUB,PCT_total_households_with_DU,PCT_total_households_with_Broadband,PCT_total_households_with_Cellular,PCT_total_households_with_Cell_NO,PCT_total_households_with_Cable,PCT_total_households_with_SAT,PCT_total_households_without_SUB
0500000US26125,93.6,84.3,3.6,87.0,5.3,69.1,0.7,2.5,0.0,6.4,90.3,0.1,90.2,79.8,7.8,79.2,5.9,9.7
0500000US26139,94.0,83.4,4.0,86.6,6.7,68.0,0.4,1.9,0.0,6.0,88.8,0.3,88.5,80.0,11.7,73.1,4.7,11.2
0500000US26145,88.1,69.3,5.8,77.9,10.2,56.9,1.3,2.3,0.0,11.9,83.1,0.4,82.7,66.6,14.2,63.7,7.0,16.9
0500000US26147,89.9,73.8,4.6,81.3,10.3,60.1,1.2,1.5,0.0,10.1,85.5,0.2,85.3,77.0,15.4,63.2,8.7,14.5
0500000US26155,91.7,70.7,5.1,82.0,15.5,55.3,1.1,1.4,0.3,8.3,83.3,0.2,83.1,60.6,16.2,59.0,10.0,16.7
0500000US26159,90.4,74.9,4.8,79.7,9.1,59.2,1.7,2.3,0.0,9.6,82.8,0.5,82.3,72.3,21.4,52.8,8.6,17.2
0500000US26161,96.0,88.0,3.1,90.2,4.2,68.6,0.5,2.4,0.0,4.0,91.7,0.1,91.7,85.6,7.8,80.9,5.3,8.3
0500000US26163,89.5,68.4,4.3,82.0,13.8,55.2,1.1,2.4,0.0,10.5,79.2,0.3,78.9,66.9,13.4,62.9,5.3,20.8
0500000US27003,94.8,85.0,4.2,87.4,4.4,69.8,0.9,1.9,0.0,5.2,91.8,0.5,91.3,83.0,15.8,72.8,5.6,8.2
0500000US27013,93.7,83.5,4.7,86.2,5.6,54.8,0.9,3.2,0.0,6.3,88.7,0.1,88.6,72.1,10.5,74.9,5.1,11.3
