id,pop_total,county,state,pop_class
0500000US08123,328981,Weld County,Colorado,Medium Metro Area
0500000US08125,9988,Yuma County,Colorado,Rural Area
0500000US09001,957419,Fairfield County,Connecticut,Medium Metro Area
0500000US09003,899498,Hartford County,Connecticut,Medium Metro Area
0500000US09005,185186,Litchfield County,Connecticut,Small Metro Area
0500000US09007,164245,Middlesex County,Connecticut,Small Metro Area
0500000US09009,864835,New Haven County,Connecticut,Medium Metro Area
0500000US09011,268555,New London County,Connecticut,Medium Metro Area
0500000US09013,149788,Tolland County,Connecticut,Small Metro Area
0500000US09015,116418,Windham County,Connecticut,Small Metro Area
0500000US10001,181851,Kent County,Delaware,Small Metro Area
0500000US10003,570719,New Castle County,Delaware,Medium Metro Area
0500000US10005,237378,Sussex County,Delaware,Small Metro Area
0500000US11001,689545,District of Columbia,District of Columbia,Medium Metro Area
0500000US12001,278468,Alachua County,Florida,Medium Metro Area
0500000US12003,28259,Baker County,Florida,Micro Area
0500000US12005,175216,Bay County,Florida,Small Metro Area
0500000US12007,28303,Bradford County,Florida,Micro Area
0500000US12009,606612,Brevard County,Florida,Medium Metro Area
0500000US12011,1944375,Broward County,Florida,Large Metro Area
0500000US12013,13648,Calhoun County,Florida,Micro Area
0500000US12015,186847,Charlotte County,Florida,Small Metro Area
0500000US12017,153843,Citrus County,Florida,Small Metro Area
0500000US12019,218245,Clay County,Florida,Small Metro Area
0500000US12021,375752,Collier County,Florida,Medium Metro Area
0500000US12023,69698,Columbia County,Florida,Small Metro Area
0500000US12027,33976,DeSoto County,Florida,Micro Area
0500000US12029,16759,Dixie County,Florida,Micro Area
0500000US12031,995567,Duval County,Florida,Medium Metro Area
0500000US12033,321905,Escambia County,Florida,Medium Metro Area
0500000US12035,115378,Flagler County,Florida,Small Metro Area
0500000US12037,12451,Franklin County,Florida,Micro Area
0500000US12039,43826,Gadsden County,Florida,Micro Area
0500000US12041,17864,Gilchrist County,Florida,Micro Area
0500000US12043,12126,Glades County,Florida,Micro Area
0500000US12045,14192,Gulf County,Florida,Micro Area
0500000US12047,14004,Hamilton County,Florida,Micro Area
0500000US12049,25327,Hardee County,Florida,Micro Area
0500000US12051,39619,Hendry County,Florida,Micro Area
0500000US12053,194515,Hernando County,Florida,Small Metro Area
0500000US12055,101235,Highlands County,Florida,Small Metro Area
0500000US12057,1459762,Hillsborough County,Florida,Large Metro Area
0500000US12059,19653,Holmes County,Florida,Micro Area
0500000US12061,159788,Indian River County,Florida,Small Metro Area
0500000US12063,47319,Jackson County,Florida,Micro Area
0500000US12065,14510,Jefferson County,Florida,Micro Area
0500000US12067,8226,Lafayette County,Florida,Rural Area
0500000US12069,383956,Lake County,Florida,Medium Metro Area
0500000US12071,760822,Lee County,Florida,Medium Metro Area
0500000US12073,292198,Leon County,Florida,Medium Metro Area
0500000US12075,42915,Levy County,Florida,Micro Area
0500000US12077,7974,Liberty County,Florida,Rural Area
0500000US12079,17968,Madison County,Florida,Micro Area
0500000US12081,399710,Manatee County,Florida,Medium Metro Area
0500000US12083,375908,Marion County,Florida,Medium Metro Area
0500000US12085,158431,Martin County,Florida,Small Metro Area
0500000US12086,2701767,Miami-Dade County,Florida,Large Metro Area
0500000US12087,82874,Monroe County,Florida,Small Metro Area
0500000US12089,90352,Nassau County,Florida,Small Metro Area
0500000US12091,211668,Okaloosa County,Florida,Small Metro Area
0500000US12093,39644,Okeechobee County,Florida,Micro Area
0500000US12095,1429908,Orange County,Florida,Large Metro Area
0500000US12097,388656,Osceola County,Florida,Medium Metro Area
0500000US12099,1492191,Palm Beach County,Florida,Large Metro Area
0500000US12101,561891,Pasco County,Florida,Medium Metro Area
0500000US12103,959107,Pinellas County,Florida,Medium Metro Area
0500000US12105,725046,Polk County,Florida,Medium Metro Area
0500000US12107,73321,Putnam County,Florida,Small Metro Area
0500000US12109,273425,St. Johns County,Florida,Medium Metro Area
0500000US12111,329226,St. Lucie County,Florida,Medium Metro Area
0500000US12113,188000,Santa Rosa County,Florida,Small Metro Area
0500000US12115,434006,Sarasota County,Florida,Medium Metro Area
0500000US12117,470856,Seminole County,Florida,Medium Metro Area
0500000US12119,129752,Sumter County,Florida,Small Metro Area
0500000US12121,43474,Suwannee County,Florida,Micro Area
0500000US12123,21796,Taylor County,Florida,Micro Area
0500000US12125,16147,Union County,Florida,Micro Area
0500000US12127,553543,Volusia County,Florida,Medium Metro Area
0500000US12129,33764,Wakulla County,Florida,Micro Area
0500000US12131,75305,Walton County,Florida,Small Metro Area
0500000US12133,25318,Washington County,Florida,Micro Area
0500000US13001,18444,Appling County,Georgia,Micro Area
0500000US13003,8286,Atkinson County,Georgia,Rural Area
0500000US13005,11140,Bacon County,Georgia,Micro Area
0500000US13007,2876,Baker County,Georgia,Rural Area
0500000US13009,43799,Baldwin County,Georgia,Micro Area
0500000US13011,18035,Banks County,Georgia,Micro Area
0500000US13013,83505,Barrow County,Georgia,Small Metro Area
0500000US13015,108901,Bartow County,Georgia,Small Metro Area
0500000US13017,17194,Ben Hill County,Georgia,Micro Area
0500000US13019,18160,Berrien County,Georgia,Micro Area
0500000US13021,157346,Bibb County,Georgia,Small Metro Area
0500000US13023,12583,Bleckley County,Georgia,Micro Area
0500000US13025,18021,Brantley County,Georgia,Micro Area
0500000US13027,16301,Brooks County,Georgia,Micro Area
0500000US13029,44738,Bryan County,Georgia,Micro Area
0500000US13031,81099,Bulloch County,Georgia,Small Metro Area
0500000US13033,24596,Burke County,Georgia,Micro Area
0500000US13035,25434,Butts County,Georgia,Micro Area
0500000US13037,5573,Calhoun County,Georgia,Rural Area
0500000US13039,54768,Camden County,Georgia,Small Metro Area
0500000US13043,10981,Candler County,Georgia,Micro Area
0500000US13045,119148,Carroll County,Georgia,Small Metro Area
0500000US13047,67872,Catoosa County,Georgia,Small Metro Area
0500000US13049,12518,Charlton County,Georgia,Micro Area
0500000US13051,295291,Chatham County,Georgia,Medium Metro Area
0500000US13053,9565,Chattahoochee County,Georgia,Rural Area
0500000US13055,24965,Chattooga County,Georgia,Micro Area
0500000US13057,266620,Cherokee County,Georgia,Medium Metro Area
0500000US13059,128671,Clarke County,Georgia,Small Metro Area
0500000US13061,2848,Clay County,Georgia,Rural Area
0500000US13063,297595,Clayton County,Georgia,Medium Metro Area
0500000US13065,6749,Clinch County,Georgia,Rural Area
0500000US13067,766149,Cobb County,Georgia,Medium Metro Area
0500000US13069,43092,Coffee County,Georgia,Micro Area
0500000US13071,45898,Colquitt County,Georgia,Micro Area
