id,pop_total,county,state,pop_class,year,broadband_pct,total_pop_enrolled,percent_total_pop_enrolled,margin_total_pop,geo_id_x,est_total_households,est_med_income_households,est_total_families,est_med_income_families,geo_id_y,est_total_pop_16_over,est_emp_pop_ratio_16_over,est_unemp_pop_ratio_16_over,geo_id_x,total_one_device,total_multi_device,total_without_device,total_households_org,geo_id_y,total_with_subs_org,total_without_subs_org,total_cellular_subs,total_with_cell_sub_only,total_subs,total_without_subs,total_subs_w_cell
0500000US02122,58799.0,Kenai Peninsula Borough,Alaska,Small Metro Area,2018.0,0.77100003,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02130,13948.0,Ketchikan Gateway Borough,Alaska,Micro Area,2018.0,0.83600003,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02150,13101.0,Kodiak Island Borough,Alaska,Micro Area,2018.0,0.82499999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02158,8368.0,Kusilvak Census Area,Alaska,Rural Area,2018.0,0.625,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02164,1476.0,Lake and Peninsula Borough,Alaska,Rural Area,2018.0,0.61199999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02170,107081.0,Matanuska-Susitna Borough,Alaska,Small Metro Area,2018.0,0.86200005,20613.0,77.6,696.0,0500000US02170,32198.0,72667.0,22647.0,87657.0,0500000US02170,82371.0,51.8,8.4,0500000US02170,38052.0,33378.0,4272.0,82371.0,0500000US02170,69261.0,,,,5901.0,0.0,5901.0
0500000US02180,10046.0,Nome Census Area,Alaska,Micro Area,2018.0,0.71999997,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02185,11031.0,North Slope Borough,Alaska,Micro Area,2018.0,0.67699999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02188,7793.0,Northwest Arctic Borough,Alaska,Rural Area,2018.0,0.70099998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02195,3398.0,Petersburg Borough,Alaska,Rural Area,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02198,5753.0,Prince of Wales-Hyder Census Area,Alaska,Rural Area,2018.0,0.66799998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02220,8458.0,Sitka City and Borough,Alaska,Rural Area,2018.0,0.82999998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02230,1240.0,Skagway Municipality,Alaska,Rural Area,2018.0,0.85500002,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02240,6808.0,Southeast Fairbanks Census Area,Alaska,Rural Area,2018.0,0.71799999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02275,2127.0,Wrangell City and Borough,Alaska,Rural Area,2018.0,0.71700001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02282,662.0,Yakutat City and Borough,Alaska,Rural Area,2018.0,0.69800001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US02290,5343.0,Yukon-Koyukuk Census Area,Alaska,Rural Area,2018.0,0.43700004,,,,,,,,,,,,,,,,,,,,,,,,,
